 
00:00:00     device    %busy    avque    r+w/s    Kbs/s   avwait   avserv
00:00:00 
00:10:00   hdisk523     21      0.0       18      584      0.0     63.0
00:10:00            hdisk524     21      0.0       18      580      0.0     63.8
00:10:00            hdisk525     21      0.0       18      545      0.0     63.6
00:10:00            hdisk517     21      0.0       18      594      0.0     60.2
00:10:00            hdisk522     21      0.0       18      559      0.1     64.6
00:10:00            hdisk521     21      0.0       18      509      0.0     64.9
00:10:00            hdisk526     21      0.0       18      615      0.0     63.5
00:10:00            hdisk527     21      0.0       18      599      0.0     64.1
00:10:00            hdisk531     21      0.0       18      530      0.1     63.2
00:10:00            hdisk528     21      0.0       18      545      0.0     64.9
00:10:00            hdisk530     21      0.0       18      611      0.1     65.6
00:10:00            hdisk529     21      0.0       18      548      0.0     63.2
00:10:00            hdisk532     21      0.0       18      589      0.0     63.0
00:10:00            hdisk533     21      0.0       18      529      0.1     64.6
00:10:00            hdisk534     21      0.0       18      510      0.0     67.1
00:10:00            hdisk535     21      0.0       18      502      0.0     66.4
00:10:00            hdisk536     21      0.0       18      550      0.1     65.8
00:10:00            hdisk520     21      0.0       18      620      0.0     65.3
00:10:00            hdisk518     20      0.0       17      492      0.2     64.7
00:10:00            hdisk516      1      0.0        2      211      0.0      8.3
00:10:00            hdisk519     21      0.0       18      570      0.1     63.5
00:10:00            hdisk537     21      0.0       18      525      0.0     63.9
00:10:00            hdisk544     21      0.0       18      531      0.0     68.7
00:10:00            hdisk545     21      0.0       18      704      0.0     66.0
00:10:00            hdisk542     21      0.0       18      511      0.0     62.9
00:10:00            hdisk548     21      0.0       18      499      0.0     62.4
00:10:00            hdisk546     21      0.0       18      636      0.1     68.3
00:10:00            hdisk547     21      0.0       18      547      0.1     65.9
00:10:00            hdisk538     21      0.0       18      546      0.1     66.4
00:10:00            hdisk554     21      0.0       18      512      0.0     62.2
00:10:00            hdisk551     21      0.0       18      520      0.0     65.8
00:10:00            hdisk540     21      0.0       18      505      0.4     68.6
00:10:00            hdisk543     21      0.0       18      483      0.0     67.2
00:10:00            hdisk555     21      0.0       17      522      0.0     65.5
00:10:00            hdisk549     21      0.0       18      603      0.0     64.3
00:10:00            hdisk553     21      0.0       18      625      0.1     65.1
00:10:00            hdisk550     21      0.0       18      555      0.0     66.3
00:10:00            hdisk557     21      0.0       18      559      0.1     67.8
00:10:00            hdisk556     21      0.0       18      564      0.2     66.1
00:10:00            hdisk560     21      0.0       18      586      0.1     68.2
00:10:00            hdisk552     21      0.0       18      526      0.2     64.3
00:10:00            hdisk565     21      0.0       17      570      0.0     64.7
00:10:00            hdisk564     22      0.0       18      658      0.0     64.9
00:10:00            hdisk568      0      0.0        0        0      0.0      0.0
00:10:00            hdisk563     22      0.0       18      636      0.1     69.4
00:10:00            hdisk559     21      0.0       18      513      0.1     67.4
00:10:00            hdisk561     21      0.0       18      491      0.2     67.4
00:10:00            hdisk558     21      0.0       18      580      0.1     66.8
00:10:00            hdisk569      0      0.0        0        0      0.0      0.0
00:10:00            hdisk562     21      0.0       18      550      0.1     65.8
00:10:00            hdisk567      0      0.0        0        0      0.0      0.0
00:10:00            hdisk571     25      0.0       58     1165     31.3     95.1
00:10:00            hdisk574     25      0.0       56     1142     31.0     96.8
00:10:00            hdisk566     21      0.0       18      606      0.1     66.8
00:10:00            hdisk572     25      0.0       58     1159     30.7     94.4
00:10:00            hdisk570      0      0.0        0        0      0.0      0.0
00:10:00            hdisk575     12      0.0        5      108      0.0     78.6
00:10:00            hdisk581     13      0.0        5      106      0.0     80.2
00:10:00            hdisk576     13      0.0        5      110      0.0     80.5
00:10:00            hdisk573     25      0.0       58     1167     31.4     95.3
00:10:00            hdisk578     12      0.0        5      105      0.0     80.0
00:10:00            hdisk580     13      0.0        5      106      0.0     84.7
00:10:00            hdisk584     13      0.0        5      107      0.0     79.6
00:10:00            hdisk583     13      0.0        5      109      0.0     82.8
00:10:00            hdisk585     13      0.0        5      110      0.0     78.8
00:10:00            hdisk587     13      0.0        5      113      0.0     80.5
00:10:00            hdisk588     13      0.0        5      102      0.0     89.6
00:10:00            hdisk586     13      0.0        5      109      0.0     77.8
00:10:00            hdisk579     13      0.0        5      109      0.0     78.8
00:10:00            hdisk590     12      0.0        5      105      0.5     89.6
00:10:00            hdisk582     13      0.0        5      109      0.0     84.3
00:10:00            hdisk577     12      0.0        5      106      0.0     78.1
00:10:00            hdisk592     13      0.0        5      106      0.0     84.5
00:10:00            hdisk589     12      0.0        5      102      0.0     86.8
00:10:00            hdisk539     21      0.0       18      527      0.0     66.0
00:10:00            hdisk601     13      0.0        5      101      0.0     84.0
00:10:00            hdisk593     13      0.0        5      108      0.0     83.6
00:10:00            hdisk599     13      0.0        5      110      0.0     81.5
00:10:00            hdisk602     13      0.0        5      103      0.0     88.0
00:10:00            hdisk603     13      0.0        5      104      0.0     82.6
00:10:00            hdisk600     13      0.0        5      107      0.0     85.9
00:10:00            hdisk591     13      0.0        5      108      0.0     86.4
00:10:00            hdisk598     13      0.0        5      108      0.0     81.1
00:10:00            hdisk594     12      0.0        5      104      0.0     81.9
00:10:00            hdisk596     13      0.0        5      112      0.0     83.1
00:10:00            hdisk595     13      0.0        5      109      0.0     82.7
00:10:00            hdisk605     13      0.0        5      103      0.0     82.9
00:10:00            hdisk606     13      0.0        5      111      0.0     85.3
00:10:00            hdisk604     13      0.0        5      110      0.0     84.3
00:10:00            hdisk597     13      0.0        5      107      0.0     81.1
00:10:00            hdisk608     13      0.0        5      100      0.0     83.7
00:10:00            hdisk612     13      0.0        5      113      0.0     88.2
00:10:00            hdisk613     13      0.0        5      105      0.0     88.6
00:10:00            hdisk611     13      0.0        5      114      0.0     82.9
00:10:00            hdisk615     13      0.0        5       98      0.0     88.2
00:10:00            hdisk610     13      0.0        5      104      0.0     83.8
00:10:00            hdisk616     13      0.0        6      118      0.0     84.5
00:10:00            hdisk621     25      0.0       57     1142     31.0     96.6
00:10:00            hdisk619     25      0.0       57     1154     30.9     95.6
00:10:00            hdisk623     25      0.0       58     1159     30.5     94.8
00:10:00            hdisk609     13      0.0        5      106      0.0     85.5
00:10:00            hdisk607     13      0.0        5      104      0.0     86.0
00:10:00            hdisk626     25      0.0       57     1159     30.8     96.0
00:10:00            hdisk618     13      0.0        5      107      0.0     81.6
00:10:00            hdisk614     13      0.0        5      104      0.0     85.8
00:10:00            hdisk622     25      0.0       57     1146     31.1     96.5
00:10:00            hdisk620     25      0.0       56     1139     31.4     97.1
00:10:00            hdisk624     25      0.0       58     1178     31.2     95.7
00:10:00            hdisk617     13      0.0        5      110      0.0     90.1
00:10:00            hdisk627      0      0.0        0        0      0.0      4.0
00:10:00            hdisk628      0      0.0        0        0      0.0      0.0
00:10:00            hdisk629      0      0.0        0        0      0.0      0.0
00:10:00            hdisk639      0      0.0        0       23      0.0     18.7
00:10:00            hdisk635     37      0.0       20     9628      0.4    186.0
00:10:00            hdisk625     25      0.0       58     1155     31.4     95.9
00:10:00            hdisk630      0      0.0        0        0      0.0      0.0
00:10:00            hdisk632      0      0.0        0        0      0.0      0.0
00:10:00            hdisk636     36      0.0       20     9688      0.3    189.5
00:10:00            hdisk640      0      0.0        0       14      0.0     16.8
00:10:00           hdisk1066      0      0.0        0        0      0.0      0.0
00:10:00            hdisk631      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1064      0      0.0        0        0      0.0      0.0
00:10:00            hdisk638     36      0.0       20     9676      0.3    191.7
00:10:00            hdisk633      0      0.0        0        0      0.0      0.0
00:10:00            hdisk637     36      0.0       20     9656      0.2    187.8
00:10:00            hdisk634      0      0.0        0        0      0.0      0.0
00:10:00            hdisk541      0      0.0        0       14      0.0      2.8
00:10:00           hdisk1067      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1065      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1069      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1071      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1108      0      0.0        0        8      0.0      1.3
00:10:00           hdisk1068      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1100      0      0.0        0        0      0.0      2.4
00:10:00            hdisk387      1      0.0        3      212      0.0      9.3
00:10:00           hdisk1070      0      0.0        0        0      0.0      0.0
00:10:00            hdisk391     21      0.0       18      603      0.0     65.1
00:10:00            hdisk389     21      0.0       17      491      0.1     62.8
00:10:00            hdisk388     21      0.0       19      650      0.0     62.5
00:10:00            hdisk641      0      0.0        0       17      0.0      8.7
00:10:00            hdisk390     21      0.0       18      570      0.1     67.4
